<<<<<<< HEAD
furniture home furnishing equipment shop manufacturer except appliance, 0
cable satellite pay television radio service, 1
jewelry watch clock silverware shop, 2
watch clock jewelry repair shop, 3
music shop musical instrument piano sheet music, 39548
gift card novelty souvenir shop, 5
computer computer peripheral equipment software, 6
computer programming data processing integrated system design service, 7
equipment tool furniture appliance rent al leasing, 8
artist supply craft shop, 9
florist supply nursery stock flower, 10
antique shop sale repair restoration service, 11
motor vehicle supply new part, 12
book periodical newspaper, 13
stationery office supply printing writing paper, 14
tent awning shop, 15
art dealer gallery, 16
bicycle shop sale service, 17
digital good book movie music, 18
shoe shop, 19
optician optical good eyeglass, 20
health beauty spa, 21
hobby toy game shop, 22
lawn garden supply outlet including nursery, 23
telecom, 24
=======
hobby toy game shop, 0
optician optical good eyeglass, 1
book periodical newspaper, 2
shoe shop, 3
lawn garden supply outlet including nursery, 4
tent awning shop, 5
cable satellite pay television radio service, 6
digital good book movie music, 7
computer programming data processing integrated system design service, 8
art dealer gallery, 9
computer computer peripheral equipment software, 10
watch clock jewelry repair shop, 11
artist supply craft shop, 12
telecom, 13
florist supply nursery stock flower, 14
motor vehicle supply new part, 15
health beauty spa, 16
gift card novelty souvenir shop, 17
bicycle shop sale service, 18
equipment tool furniture appliance rent al leasing, 19
furniture home furnishing equipment shop manufacturer except appliance, 20
jewelry watch clock silverware shop, 21
stationery office supply printing writing paper, 22
music shop musical instrument piano sheet music, 23
antique shop sale repair restoration service, 24
>>>>>>> origin/Ranking_system
